last_name, first_name,pitcher,n_ff,n_si,n_fc,n_sl,n_ch,n_cu,n_fs,n_kn,n_st,n_sv
Cabrera, Génesis,650893,34.7,13.9,33.4,,4.7,13.2,,,,
Keller, Brad,641745,30.4,10.7,,24.6,12.6,19.1,,,2.5,
Stanek, Ryne,592773,64.3,,,17.7,,,18.0,,,
Diekman, Jake,518617,57.0,7.3,4.3,,15.5,,,,15.8,
Okert, Steven,595345,39.5,,,60.5,,,,,,
Soto, Gregory,642397,18.5,41.8,,39.4,0.2,,,,,
Raley, Brooks,548384,0.6,26.4,22.6,,14.5,,,,35.9,
Silseth, Chase,681217,35.1,13.8,9.3,23.3,,2.1,16.4,,,
Law, Derek,571882,19.8,11.1,35.9,17.3,4.6,11.3,,,,
Burke, Brock,656271,64.8,5.3,,18.6,11.3,,,,,
Gott, Trevor,641627,22.5,27.1,41.6,,2.7,6.1,,,,
Ruiz, José,614179,31.5,20.4,,,13.1,35.0,,,,
Graterol, Brusdar,660813,9.2,44.8,21.6,24.4,,,,,,
Hand, Brad,543272,33.9,18.5,,,,,,,47.6,
Vasquez, Andrew,607755,7.5,3.1,,82.5,1.6,5.3,,,,
Gonzales, Marco,594835,36.9,,8.8,,30.2,24.2,,,,
Shuster, Jared,694363,44.1,,,33.3,22.6,,,,,
Lynch IV, Daniel,663738,42.6,2.2,,18.8,27.8,8.5,,,,
Young, Alex,622065,3.1,35.6,,,36.8,24.5,,,,
Almonte, Yency,622075,16.1,26.5,0.8,,6.5,,,,50.1,
Jiménez, Joe,641729,62.6,,,31.0,6.4,,,,,
Holderman, Colin,670059,,48.7,20.3,,0.1,,,,30.8,
Skubal, Tarik,669373,39.2,11.2,,22.4,20.4,6.9,,,,
Murphy, Chris,669684,38.9,,,31.8,6.5,18.9,,,4.1,
Peralta, Wandy,593974,4.9,36.6,,13.3,45.1,,,,,
López, Jorge,605347,16.3,34.0,,17.0,12.5,20.2,,,,
Gallegos, Giovanny,606149,49.7,,,46.8,3.4,,,,,
Banks, Tanner,621383,38.2,1.1,,28.7,15.8,16.1,,,,
